soc_id	pref_name_for_society	region	code_ea	code_eco	title_ea	title_eco
Aa1	!Kung	Southern Africa	15	0.478079126	Cousin marriages preferred	Precipitation predictability
Aa2	Dorobo	East Tropical Africa	15	0.586995285	Cousin marriages preferred	Precipitation predictability
Aa3	Nama	Southern Africa	15	0.463783746	Cousin marriages preferred	Precipitation predictability
Aa4	Bergdama	Southern Africa	15	0.401874426	Cousin marriages preferred	Precipitation predictability
Aa5	Mbuti	West-Central Tropical Africa	15	0.787907614	Cousin marriages preferred	Precipitation predictability
Aa6	Sandawe	East Tropical Africa	5	0.716083454	Cousin marriages preferred	Precipitation predictability
Aa7	Naron	Southern Africa	15	0.476634963	Cousin marriages preferred	Precipitation predictability
Aa8	/Xam	Southern Africa	15	0.571137119	Cousin marriages preferred	Precipitation predictability
Ab1	Herero	Southern Africa	3	0.424335365	Cousin marriages preferred	Precipitation predictability
Ab10	Pondo Xhosa	Southern Africa	15	0.667812243	Cousin marriages preferred	Precipitation predictability
Ab11	Xhosa Ngqika	Southern Africa	15	0.691797673	Cousin marriages preferred	Precipitation predictability
Ab12	Zulu	Southern Africa	15	0.674294506	Cousin marriages preferred	Precipitation predictability
Ab13	Tswana	Southern Africa	8	0.56300904	Cousin marriages preferred	Precipitation predictability
Ab14	Lovedu	Southern Africa	2	0.610223687	Cousin marriages preferred	Precipitation predictability
Ab15	Pedi	Southern Africa	5	0.630116989	Cousin marriages preferred	Precipitation predictability
Ab16	Lenge	South Tropical Africa	15	0.581021446	Cousin marriages preferred	Precipitation predictability
Ab17	Ndau	South Tropical Africa	15	0.593148765	Cousin marriages preferred	Precipitation predictability
Ab18	Shona	South Tropical Africa	15	0.603421812	Cousin marriages preferred	Precipitation predictability
Ab19	Ambo	South Tropical Africa	15	0.467616848	Cousin marriages preferred	Precipitation predictability
Ab2	Swazi	Southern Africa	15	0.65205602	Cousin marriages preferred	Precipitation predictability
Ab21b	Bomvana	Southern Africa	15	0.70170868	Cousin marriages preferred	Precipitation predictability
Ab22	Chopi	South Tropical Africa	15	0.584157709	Cousin marriages preferred	Precipitation predictability
